feature_name,feature_category,data_type,source,missing_count,missing_pct,description,handling_strategy
s2_post_b04_mean,Sentinel-2 Post Reflectance,numeric,Sentinel-2 L2A,35,46.05,Post-event Band 4 (Red) surface reflectance mean,Median Imputation inside training fold
s2_post_b08_mean,Sentinel-2 Post Reflectance,numeric,Sentinel-2 L2A,35,46.05,Post-event Band 8 (NIR) surface reflectance mean,Median Imputation inside training fold
s2_post_b11_mean,Sentinel-2 Post Reflectance,numeric,Sentinel-2 L2A,35,46.05,Post-event Band 11 (SWIR-1) surface reflectance mean,Median Imputation inside training fold
s2_post_b12_mean,Sentinel-2 Post Reflectance,numeric,Sentinel-2 L2A,35,46.05,Post-event Band 12 (SWIR-2) surface reflectance mean,Median Imputation inside training fold
s2_post_spectral_valid_pct,Sentinel-2 Post QA,numeric,Sentinel-2 L2A,31,40.79,"Percentage of cloud-free, shadow-free valid pixels post",Median Imputation inside training fold
s2_dndvi_mean,Sentinel-2 Delta Change,numeric,Sentinel-2 L2A,65,85.53,Delta NDVI: post - pre vegetation index change,Median Imputation inside training fold
s2_abs_dndvi_mean,Sentinel-2 Delta Change,numeric,Sentinel-2 L2A,65,85.53,Absolute value of Delta NDVI,Median Imputation inside training fold
s2_dnbr_mean,Sentinel-2 Delta Change,numeric,Sentinel-2 L2A,65,85.53,dNBR: post - pre burn severity metric,Median Imputation inside training fold
s2_abs_dnbr_mean,Sentinel-2 Delta Change,numeric,Sentinel-2 L2A,65,85.53,Absolute value of dNBR,Median Imputation inside training fold
s2_dndwi_mean,Sentinel-2 Delta Change,numeric,Sentinel-2 L2A,65,85.53,Delta NDWI: post - pre water/moisture change,Median Imputation inside training fold
s2_abs_dndwi_mean,Sentinel-2 Delta Change,numeric,Sentinel-2 L2A,65,85.53,Absolute value of Delta NDWI,Median Imputation inside training fold
s2_dswir_ratio_mean,Sentinel-2 Delta Change,numeric,Sentinel-2 L2A,65,85.53,Delta SWIR ratio: post - pre thermal ratio change,Median Imputation inside training fold
s2_abs_dswir_ratio_mean,Sentinel-2 Delta Change,numeric,Sentinel-2 L2A,65,85.53,Absolute value of Delta SWIR ratio,Median Imputation inside training fold
s2_pre_missing,Sentinel-2 Missingness,binary,Derived S2 QA,0,0.0,"Missing indicator: 1 if pre observation cloud/absent, 0 if present",Binary Indicator (0/1)
s2_post_missing,Sentinel-2 Missingness,binary,Derived S2 QA,0,0.0,"Missing indicator: 1 if post observation cloud/absent, 0 if present",Binary Indicator (0/1)
s2_change_missing,Sentinel-2 Missingness,binary,Derived S2 QA,0,0.0,"Missing indicator: 1 if dual-window change absent, 0 if present",Binary Indicator (0/1)
